Country,Genre
Afghanistan,Drama
Albania,Documentary
Algeria,Drama
American Samoa,Comedy
Andorra,Music
Angola,Documentary
Antarctica, Adventure
Antigua and Barbuda,Drama
Argentina,Short
Armenia,Drama
Aruba,Action
Australia,Comedy
Austria,Short
Azerbaijan,Drama
Bahamas,Documentary
Bahrain,Drama
Bangladesh,Drama
Barbados,Drama
Belarus,Drama
Belgium,Documentary
Belize,Drama
Benin,Documentary
Bermuda,Documentary
Bhutan,Drama
Bolivia,Documentary
Bosnia and Herzegovina,Drama
Botswana,Documentary
Brazil,Documentary
Brunei Darussalam,Horror
Bulgaria,Drama
Burkina Faso,Drama
Burma,Drama
Burundi,Short
Cambodia,Drama
Cameroon,Documentary
Canada,Documentary
Cape Verde,Documentary
Cayman Islands,Documentary
Central African Republic,Documentary
Chad,Drama
Chile,Documentary
China,Drama
Colombia,Drama
Comoros,Short
Congo,Documentary
Cook Islands,Documentary
Costa Rica,Drama
Croatia,Drama
Cuba,Documentary
Cyprus,Drama
Czech Republic, Adult
Czechoslovakia,Comedy
Democratic Republic of the Congo,Short
Denmark,Documentary
Dominica,Biography
Dominican Republic,Drama
East Germany,Documentary
Ecuador,Documentary
Egypt,Drama
El Salvador,Documentary
Equatorial Guinea,Comedy
Eritrea,Action
Estonia,Documentary
Ethiopia,Documentary
Faroe Islands,Drama
Federal Republic of Yugoslavia,Comedy
Fiji,Documentary
Finland,Documentary
France,Short
French Guiana,Drama
French Polynesia,Drama
Gabon,Drama
Gambia, Documentary
Georgia,Drama
Germany,Documentary
Ghana, Drama
Gibraltar, Adult
Greece,Drama
Greenland,Documentary
Grenada, Music
Guadeloupe,Comedy
Guam,Documentary
Guatemala,Drama
Guinea,Documentary
Guinea-Bissau,Drama
Guyana,Drama
Haiti,Documentary
Holy See (Vatican City State),Documentary
Honduras,Drama
Hong Kong,Action
Hungary,Drama
Iceland,Comedy
India,Drama
Indonesia,Drama
Iran,Drama
Iraq,Drama
Ireland,Drama
Isle of Man,Documentary
Israel,Drama
Italy,Comedy
Ivory Coast,Comedy
Jamaica,Documentary
Japan,Drama
Jordan,Drama
Kazakhstan,Drama
Kenya,Drama
Kiribati,Comedy
Korea,Drama
Kosovo,Drama
Kuwait,Drama
Kyrgyzstan,Drama
Laos,Documentary
Latvia,Documentary
Lebanon,Drama
Lesotho,Documentary
Liberia,Drama
Libya,Biography
Liechtenstein,Crime
Lithuania,Documentary
Luxembourg,Documentary
Macao,Drama
Madagascar,Documentary
Malawi,Drama
Malaysia,Comedy
Maldives,Drama
Mali,Drama
Malta,Drama
Marshall Islands,Drama
Martinique,Documentary
Mauritania,Documentary
Mauritius,Documentary
Mexico,Drama
Moldova,Drama
Monaco, Music
Mongolia,Drama
Montenegro,Drama
Montserrat, Documentary
Morocco,Drama
Mozambique,Documentary
Myanmar,Drama
Namibia,Documentary
Nepal,Drama
Netherlands,Documentary
Netherlands Antilles,Drama
New Caledonia,Documentary
New Zealand,Drama
Nicaragua,Documentary
Niger,Short
Nigeria, Drama
Niue,Documentary
North Korea,Drama
North Vietnam,Drama
Norway,Drama
Occupied Palestinian Territory,Documentary
Oman,Drama
Pakistan,Drama
Palau, Documentary
Palestine,Documentary
Panama,Documentary
Papua New Guinea,Documentary
Paraguay,Documentary
Peru,Drama
Philippines,Drama
Poland,Documentary
Portugal,Documentary
Puerto Rico,Drama
Qatar,Documentary
Republic of Macedonia,Documentary
Reunion,Documentary
Romania,Documentary
Russia,Drama
Rwanda,Drama
Saint Helena, Biography
Saint Kitts and Nevis, Short
Saint Lucia,Drama
Saint Vincent and the Grenadines,Animation
San Marino,Documentary
Saudi Arabia,Drama
Senegal,Documentary
Serbia,Drama
Serbia and Montenegro,Drama
Seychelles, Documentary
Siam,Documentary
Sierra Leone,Documentary
Singapore,Drama
Slovakia,Documentary
Slovenia,Drama
Solomon Islands,Drama
Somalia,Drama
South Africa,Drama
South Korea,Drama
Soviet Union,Drama
Spain,Documentary
Sri Lanka,Drama
Sudan,Documentary
Suriname,Drama
Swaziland,Short
Sweden,Drama
Switzerland,Documentary
Syria,Drama
Taiwan,Drama
Tajikistan,Drama
Tanzania,Drama
Thailand,Comedy
Timor-Leste,Drama
Togo,Documentary
Tonga,Music
Trinidad and Tobago,Documentary
Tunisia,Drama
Turkey,Drama
Turkmenistan,Drama
Tuvalu,Comedy
U.S. Virgin Islands,Comedy
UK,Documentary
USA,Comedy
Uganda,Drama
Ukraine,Drama
United Arab Emirates,Drama
United States Minor Outlying Islands,Comedy
Uruguay,Documentary
Uzbekistan,Drama
Vanuatu,Drama
Venezuela,Drama
Vietnam,Drama
West Germany,Comedy
Western Sahara,Music
Yemen,Documentary
Yugoslavia,Documentary
Zaire,Animation
Zambia,Drama
Zimbabwe,Documentary